FID,id,NRScode,Station,Latitude,Longitude,SampleDateLocal,Year,Month,Day,Time_24hr,SST_C,ChlorophyllMonthlyClimatology_mg_m3,ChlorophyllSatellite_mg_m3,ZoopAbundance_m3,CopepodAbundance_m3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,NoCopepodSpecies_Sample,ShannonCopepodDiversity,CopepodEvenness,ZooBiomass_mgCarbon_m3,Salinity_psu,Silicate_umol_L,Nitrate_umol_L,Ammonium_umol_L,Phosphate_umol_L,TotalCarbon_umol_kg,TotalAlkalinity_umol_kg,Oxygen_umol_L,PhytoBiomass_Carbon_pg_L,AbundancePhyto_cells_L,DiatomDinoflagellateRatio,AvgCellVolume_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversity,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversity,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversity,DinoflagellateEvenness,geom
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f32,996,PHB20130611,Port Hacking,-34.1192,151.2267,2013-06-12T10:15:00Z,2013,6,12,10:15:00,19.9564,0.6003,0.51,584.199,468.2079,0.6829,0.963,51,195.7477,49.7854,-999,35.54,1.37,3,0.68,0.29,2069.6399,2329.5901,-999,10973195,156907,0.585,868061.375,25,22.3401,6.9404,8,12.6909,6.103,7,23.1312,11.8871,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f31,1002,PHB20130514,Port Hacking,-34.1192,151.2267,2013-05-15T09:40:00Z,2013,5,15,09:40:00,23.27,0.5944,0.9429,42.8513,34.4475,0.5705,0.96,39,283.0021,77.2478,0.229,35.41,1.63,3.1,0.56,0.38,2053.1699,2322.55,-999,10339540,175330,0.811,1315925.125,41,21.4117,5.7658,22,95.204,30.7999,9,78.3616,35.6639,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f30,1008,PHB20130422,Port Hacking,-34.1192,151.2267,2013-04-23T09:32:00Z,2013,4,23,09:32:00,21.16,0.5944,0.5012,511.2507,392.0262,0.7656,0.981,28,142.6465,42.8084,0.3968,35.33,0.56,0.83,0.3,0.19,2021.9,2316.8201,-999,26427434,2443994,0.096,638066.8125,29,1.9638,0.5832,9,54.2952,24.7108,11,27.6248,11.5204,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f2f,1014,PHB20130319,Port Hacking,-34.1192,151.2267,2013-03-20T09:27:00Z,2013,3,20,09:27:00,24.17,0.4113,0.5212,276.6813,207.3692,0.7075,0.969,54,314.3378,78.8015,0.6442,35.42,2.17,4.27,0.05,0.41,2065.6799,2323.3301,-999,9154836,15857,0.982,1259847.25,28,74.1907,22.2647,24,73.0577,22.9882,3,29.704,27.0377,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f2e,1017,PHB20130227,Port Hacking,-34.1192,151.2267,2013-02-28T08:03:00Z,2013,2,28,08:03:00,23.24,0.5684,0.6335,421.9472,195.6229,0.8528,0.994,33,166.5449,47.6318,0.5676,35.36,3.85,8.23,0.21,0.74,2108.53,2320.3501,-999,30041424,220286,0.993,475781.6875,28,50.6472,15.1993,21,40.7863,13.3966,2,19.2349,27.7501,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f2d,1025,PHB20130125,Port Hacking,-34.1192,151.2267,2013-01-25T11:38:00Z,2013,1,25,11:38:00,22.87,0.4683,0.22,4031.4026,1584.2706,0.711,0.991,28,122.1601,36.6604,4.3696,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f2c,1031,PHB20121218,Port Hacking,-34.1192,151.2267,2012-12-19T09:31:00Z,2012,12,19,09:31:00,21.04,0.4225,0.3138,2277.3904,795.6726,0.5607,0.994,36,177.6958,49.587,0.7851,35.45,2,3.81,0.15,0.42,2083.1599,2325.3501,-999,161456816,573270,0.996,65653008,17,8.4325,2.9763,8,4.2268,2.0327,5,19.3534,12.0249,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f2b,1036,PHB20121120,Port Hacking,-34.1192,151.2267,2012-11-21T09:30:00Z,2012,11,21,09:30:00,19.76,0.4333,0.3358,10690.2891,1251.8567,0.8415,0.983,29,117.1001,34.7757,10.0892,35.42,1.27,3.57,0.52,0.35,2086.8201,2325.1899,-999,556901504,363185,0.965,65873680,28,35.6344,10.6939,13,19.7574,7.7028,8,53.5547,25.7544,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f2a,1045,PHB20121009,Port Hacking,-34.1192,151.2267,2012-10-10T10:47:00Z,2012,10,10,10:47:00,18.37,1.0352,1.7357,2079.7478,769.5416,0.4932,0.989,36,228.4455,63.7489,3.1632,35.45,1.97,3.85,0.25,0.37,-999,-999,-999,107618776,332531,0.967,569492.875,24,38.0396,11.9695,12,22.895,9.2136,4,15.8461,11.4305,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f29,1048,PHB20120917,Port Hacking,-34.1192,151.2267,2012-09-18T15:20:00Z,2012,9,18,15:20:00,18.12,1.0352,0.4596,517.3136,392.0268,0.8572,0.983,36,251.0756,70.064,17.6672,35.43,2.4,6.02,0.58,0.51,2097.6899,2324.3301,-999,17274654,131722,0.969,1265295,21,23.2279,7.6294,8,9.3851,4.5133,6,35.3622,19.736,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f28,1054,PHB20120821,Port Hacking,-34.1192,151.2267,2012-08-22T09:19:00Z,2012,8,22,09:19:00,18.06,1.2361,0.379,693.1198,480.9404,0.6932,0.977,44,269.8024,71.2973,4.5266,35.44,1.78,5.12,0.13,0.39,2079.5901,2322.3999,-999,8118577,103657,0.707,1300539.75,32,40.2647,11.6179,18,57.7024,19.9637,8,23.9591,11.5219,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f27,1063,PHB20120717,Port Hacking,-34.1192,151.2267,2012-07-17T10:00:00Z,2012,7,17,10:00:00,16.92,0.6156,2.736,339.8405,278.3081,0.5656,0.964,48,237.6189,61.3812,1.3487,35.43,2.98,3.42,0.14,0.18,2069.45,2323.3701,-999,114324424,217695,0.991,1937372.75,28,35.824,10.7508,19,22.2384,7.5527,3,12.4617,11.3431,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f26,1064,PHB20120628,Port Hacking,-34.1192,151.2267,2012-06-28T10:00:00Z,2012,6,28,10:00:00,19.62,0.6314,0.3073,1075.0408,918.0282,0.597,0.97,43,159.0424,42.285,1.2353,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f25,1072,PHB20120517,Port Hacking,-34.1192,151.2267,2012-05-18T10:16:00Z,2012,5,18,10:16:00,20.97,0.6003,0.9547,164.792,135.4405,0.7525,0.952,53,343.551,86.5304,1.8029,35.49,2.47,1.55,0.2,0.11,2036.9399,2322.98,-999,36646444,258584,0.955,3524334,56,104.6324,25.9934,44,160.5687,42.4315,5,31.3856,19.5009,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f24,1083,PHB20120311,Port Hacking,-34.1192,151.2267,2012-03-12T09:00:00Z,2012,3,12,09:00:00,21.32,0.5684,0.3399,1647.9254,1121.0137,0.657,0.984,48,276.2147,71.3512,1.4122,35.22,3.45,2.75,0.18,0.28,2062.1399,2307.74,-999,11150028,243799,0.567,707563.875,25,35.5877,11.0559,4,2.7478,1.9821,14,21.3955,8.1072,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f23,1091,PHB20120212,Port Hacking,-34.1192,151.2267,2012-02-13T10:00:00Z,2012,2,13,10:00:00,23,0.4683,0.6468,827.722,286.1601,0.8409,0.907,48,340.5048,87.9584,4.0327,35.1,4.5,5.2,0.46,0.45,2077.7,2307.54,-999,45152344,302300,0.836,67450272,33,36.6704,10.4877,20,59.2211,19.7685,7,14.8538,7.6333,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f22,1103,PHB20111206,Port Hacking,-34.1192,151.2267,2011-12-07T10:45:00Z,2011,12,7,10:45:00,19,0.4333,0.2405,860.9753,405.4974,0.5692,0.991,23,81.2339,25.9079,10.4793,35.48,0.62,0.8,0.44,0.15,2053.6101,2328.75,-999,54762712,321688,0.648,68839416,38,46.1329,12.6823,24,84.2482,26.5094,7,17.5926,9.0408,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f21,1106,PHB20111117,Port Hacking,-34.1192,151.2267,2011-11-18T10:16:00Z,2011,11,18,10:16:00,19.68,0.4333,0.5576,1223.5067,233.3373,0.6285,0.992,37,304.5333,84.3368,1.5461,35.4,1.37,3.21,0.69,0.33,2071.73,2325.3899,-999,128989872,601457,0.822,68791504,38,59.0133,16.2232,17,41.3426,14.5921,13,47.2022,18.4028,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f20,1114,PHB20111018,Port Hacking,-34.1192,151.2267,2011-10-19T09:31:00Z,2011,10,19,09:31:00,19.25,0.6616,1.8944,3988.9666,1209.4207,0.7534,0.996,32,146.5977,42.2992,2.6562,35.42,2.36,4.54,0.14,0.4,2084.1101,2323.8301,-999,78486840,631875,0.571,67880688,46,49.062,12.8145,29,110.3705,32.7772,9,14.0916,6.4134,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f1f,1120,PHB20110914,Port Hacking,-34.1192,151.2267,2011-09-15T09:43:00Z,2011,9,15,09:43:00,17.37,1.2361,0.6595,499.5056,388.1115,0.7423,0.971,43,313.3613,83.3142,0.4586,35.55,0.51,1.19,0.1,0.17,2061.4399,2333.53,-999,38446020,522752,0.945,1040983.6875,38,70.4292,19.3615,22,46.9591,15.192,10,38.1388,16.5635,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f1e,1122,PHB20110829,Port Hacking,-34.1192,151.2267,2011-08-29T09:30:00Z,2011,8,29,09:30:00,18.04,1.2361,0.479,411.3917,322.9836,0.6607,0.949,35,227.9509,64.115,1.1322,35.5,1.5,4.04,0.15,0.35,2070.21,2327.5601,-999,23900740,443177,0.775,1660030.75,40,57.9148,15.6998,29,110.5869,32.8414,3,7.2183,6.5704,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f1d,1133,PHB20110717,Port Hacking,-34.1192,151.2267,2011-07-18T09:38:00Z,2011,7,18,09:38:00,18.68,0.6156,0.6149,59.8058,46.8176,0.5996,0.978,41,355.072,95.6147,0.1287,35.42,1.97,6.4,0.78,0.47,2078.9099,2323.5,-999,41513304,432487,0.922,10660549,48,69.7972,18.0299,32,135.4762,39.0902,8,50.9965,24.5241,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f1c,1138,PHB20110619,Port Hacking,-34.1192,151.2267,2011-06-20T10:25:00Z,2011,6,20,10:25:00,20.09,0.6314,0.6096,357.8765,316.8548,0.6629,0.984,44,160.5133,42.4168,0.4249,35.51,0.81,2.23,0.39,0.26,-999,-999,-999,14840135,424499,0.537,2972884,45,45.2189,11.8789,29,125.7824,37.3541,9,24.2561,11.0394,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f1b,1144,PHB20110517,Port Hacking,-34.1192,151.2267,2011-05-18T09:25:00Z,2011,5,18,09:25:00,20.52,0.6003,0.7942,90.1752,79.7432,0.6953,0.977,52,331.2921,83.845,0.0601,35.49,0.68,1.35,0.63,0.2,2030.6801,2325.0901,-999,9697008,200384,0.88,1071181,32,43.5678,12.571,20,65.791,21.9616,4,10.9207,7.8776,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f1a,1148,PHB20110420,Port Hacking,-34.1192,151.2267,2011-04-21T09:36:00Z,2011,4,21,09:36:00,22.76,0.5944,0.2357,630.6441,488.0123,0.7559,0.958,53,268.1009,67.5267,0.1899,35.43,0.73,2.71,0.03,0.2,2046.74,2323.28,-999,11742346,353813,0.839,573865.5,23,28.5896,9.1181,11,42.4747,17.7133,4,7.5688,5.4598,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f19,1152,PHB20110329,Port Hacking,-34.1192,151.2267,2011-03-30T09:33:00Z,2011,3,30,09:33:00,23.74,0.4113,-999,1165.2177,960.1113,0.7473,0.94,53,298.985,75.3055,1.0847,35.48,1.17,2.84,0.17,0.27,2057.74,2326.9399,-999,18387154,338014,0.859,7920740.5,33,39.5287,11.3052,19,67.5918,22.9557,6,15.6758,8.7488,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f18,1158,PHB20110228,Port Hacking,-34.1192,151.2267,2011-03-01T09:30:00Z,2011,3,1,09:30:00,23.34,0.5684,-999,2390.5505,1690.3596,0.625,0.99,31,99.8992,29.0913,0.4249,35.46,1.71,3.38,0.02,0.32,2067.8899,2324.2,-999,16645772,414064,0.81,546720.375,24,26.6143,8.3744,10,40.521,17.5981,6,19.1124,10.6668,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f17,1165,PHB20110203,Port Hacking,-34.1192,151.2267,2011-02-04T10:14:00Z,2011,2,4,10:14:00,24.17,0.4683,0.5536,1052.8589,645.0035,0.7087,0.985,43,253.8292,67.4862,3.4113,35.47,1.1,2.85,0.15,0.29,2059.1201,2325.45,-999,70581544,530976,0.979,66997320,37,49.0936,13.5959,21,27.6473,9.081,7,28.5339,14.6635,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f16,1175,PHB20101213,Port Hacking,-34.1192,151.2267,2010-12-14T09:30:00Z,2010,12,14,09:30:00,20.63,0.4333,1.4223,7299.9707,771.9279,0.8965,0.996,35,156.2912,43.9595,7.5207,35.29,3.23,7.89,0.14,0.61,2093.98,2318.03,-999,296746848,539925,0.891,66494408,31,41.364,12.0455,17,61.777,21.8046,7,23.6303,12.1436,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f15,1180,PHB20101110,Port Hacking,-34.1192,151.2267,2010-11-11T09:10:00Z,2010,11,11,09:10:00,19.76,0.6616,0.4633,1260.9506,250.5741,0.9722,0.991,33,174.3962,49.8773,3.3381,35.37,2.83,7.17,0.14,0.54,2094.28,2321.03,-999,85907168,459427,0.533,67194992,30,42.5821,12.5197,15,54.0341,19.9531,9,14.3166,6.5158,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f14,1190,PHB20100908,Port Hacking,-34.1192,151.2267,2010-09-09T09:30:00Z,2010,9,9,09:30:00,17.43,1.2361,1.9787,2319.8257,1782.3052,0.7512,0.986,52,254.5211,64.4155,21.9485,35.49,1.52,3.52,0.11,0.45,2072.1599,2328.23,-999,135598080,1324253,0.96,67294664,35,37.0626,10.4245,22,74.1866,24.0005,6,26.8834,15.0039,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f13,1192,PHB20100817,Port Hacking,-34.1192,151.2267,2010-08-18T09:30:00Z,2010,8,18,09:30:00,17.34,1.2361,0.6318,2036.9189,1464.0355,0.674,0.981,38,146.7925,40.3544,21.6485,35.56,1.11,2.53,0.11,0.19,2056.3701,2331.3201,-999,15154330,222379,0.401,6416819,33,40.5601,11.6002,17,79.0038,27.8849,8,8.5641,4.1185,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f12,1199,PHB20100702,Port Hacking,-34.1192,151.2267,2010-07-02T09:42:00Z,2010,7,2,09:42:00,19.49,0.6314,0.3625,1729.2594,1372.0913,0.753,0.981,30,136.932,40.2599,18.294,35.46,1.98,4.06,0.5,0.25,2061.8,2326.73,-999,5697336,230636,0.277,493685.8125,29,34.3428,10.1989,16,64.5156,23.2691,6,8.0313,4.4823,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f11,1204,PHB20100609,Port Hacking,-34.1192,151.2267,2010-06-09T10:50:00Z,2010,6,9,10:50:00,19.64,0.6003,0.4162,1013.1556,848.7167,0.6536,0.977,41,213.0687,57.3757,3.1449,35.34,1.59,3.37,0.16,0.18,2047.7,2319.1499,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f10,1209,PHB20100510,Port Hacking,-34.1192,151.2267,2010-05-11T09:13:00Z,2010,5,11,09:13:00,22.49,0.5944,0.6131,1690.3599,1326.1191,0.7227,0.981,31,137.0773,39.9178,5.7249,35.43,1.94,4.65,0.09,0.42,2061.5601,2321.79,-999,7043680,250275,0.256,856435.1875,28,30.1164,9.038,16,55.0354,19.8498,5,1.7751,1.103,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f0f,1213,PHB20100413,Port Hacking,-34.1192,151.2267,2010-04-14T09:18:00Z,2010,4,14,09:18:00,21.28,0.4113,0.3839,2440.0588,1732.7953,0.7408,0.953,47,201.9275,52.4467,16.7203,35.42,1.41,2.51,0.07,0.28,2052.4099,2320.9299,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f0e,1219,PHB20100316,Port Hacking,-34.1192,151.2267,2010-03-17T09:05:00Z,2010,3,17,09:05:00,23.46,0.4113,0.3794,17.7389,12.2575,0.6811,0.941,43,245.2528,65.206,9.9957,35.43,2.01,5.21,0.02,0.41,2077.01,2319,-999,71480320,129251,0.963,1649070,36,87.6067,24.4471,21,80.8418,26.5532,7,33.6336,17.2842,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f0d,1222,PHB20100218,Port Hacking,-34.1192,151.2267,2010-02-19T09:05:00Z,2010,2,19,09:05:00,23.29,0.5684,0.1914,2384.6553,973.6648,0.7842,0.94,53,313.164,78.8768,8.5671,35.43,1.19,2.21,0.26,0.25,2061.54,2319.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f0c,1226,PHB20100119,Port Hacking,-34.1192,151.2267,2010-01-20T11:00:00Z,2010,1,20,11:00:00,23.03,0.4683,0.254,2899.7805,1135.1577,0.6194,0.988,31,138.2334,40.2545,20.7777,35.45,3.01,4.57,0.52,0.44,2083.21,2323.29,-999,242274512,636278,0.951,68618584,44,91.7421,24.2435,25,98.8381,30.7058,11,85.3904,35.6106,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f0b,1235,PHB20091206,Port Hacking,-34.1192,151.2267,2009-12-07T09:14:00Z,2009,12,7,09:14:00,21.13,0.4333,0.3969,1782.3035,1142.2302,0.7571,0.981,32,148.2529,42.7767,21.3601,35.49,0.92,1.7,0.06,0.15,2067.4399,2325.6001,-999,32815996,65005,0.651,68550240,35,53.5638,15.0657,17,69.3514,24.478,10,35.9286,15.6036,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f0a,1240,PHB20091110,Port Hacking,-34.1192,151.2267,2009-11-11T09:45:00Z,2009,11,11,09:45:00,20.47,0.6616,0.4978,3118.4431,605.889,0.7731,0.994,33,215.8398,61.7301,12.3189,35.42,1.95,4.58,0.22,0.39,2083.47,2321.96,-999,80663496,600364,0.959,66315268,21,39.1746,12.8673,11,28.6672,11.9551,3,2.8205,2.5674,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f09,1244,PHB20091018,Port Hacking,-34.1192,151.2267,2009-10-19T10:55:00Z,2009,10,19,10:55:00,18.82,0.6616,0.6731,5297.4043,1594.8794,0.6254,0.998,26,82.5195,25.3275,6.3974,35.49,1.21,3.36,0.12,0.32,2073.29,2325.3999,-999,130393336,697033,0.906,66078520,25,37.5661,11.6706,13,34.7788,13.5593,6,14.7749,8.246,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f08,1245,PHB20091018,Port Hacking,-34.1192,151.2267,2009-10-19T09:30:00Z,2009,10,19,09:30:00,18.82,0.6616,0.6731,14401.6553,6651.814,0.6038,0.997,23,131.4947,41.9375,6.3974,35.49,1.21,3.36,0.12,0.32,2073.29,2325.3999,-999,130393336,697033,0.906,66078520,25,37.5661,11.6706,13,34.7788,13.5593,6,14.7749,8.246,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f07,1248,PHB20091011,Port Hacking,-34.1192,151.2267,2009-10-12T09:30:00Z,2009,10,12,09:30:00,18.8,1.0352,0.6731,70528.3281,9516.2314,0.6572,0.992,34,213.7985,60.6287,30.5105,35.49,1.15,1.91,0.88,0.27,2060.6599,2326.8899,-999,546841856,722299,0.794,65926196,22,27.2587,8.8186,12,26.4729,10.6535,4,12.5649,9.0637,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f06,1249,PHB20091011,Port Hacking,-34.1192,151.2267,2009-10-12T09:28:00Z,2009,10,12,09:28:00,18.8,1.0352,0.6731,14654.501,2691.1377,0.7899,0.998,41,194.4176,52.3533,30.5105,35.49,1.15,1.91,0.88,0.27,2060.6599,2326.8899,-999,546841856,722299,0.794,65926196,22,27.2587,8.8186,12,26.4729,10.6535,4,12.5649,9.0637,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f05,1251,PHB20090924,Port Hacking,-34.1192,151.2267,2009-09-25T09:45:00Z,2009,9,25,09:45:00,16.96,1.0352,19.1042,2384.3628,658.6395,0.6135,1,27,137.2794,41.6524,10.4773,35.46,1.13,4.21,0.16,0.31,2087.8601,2326.8799,-999,148220416,789828,0.948,66929480,28,60.183,18.061,18,44.9322,15.5455,4,9.2412,6.6661,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f04,1252,PHB20090924,Port Hacking,-34.1192,151.2267,2009-09-25T09:30:00Z,2009,9,25,09:30:00,16.96,1.0352,19.1042,30689.5195,5450.8184,0.4997,0.998,12,81.8616,32.9435,10.4773,35.46,1.13,4.21,0.16,0.31,2087.8601,2326.8799,-999,148220416,789828,0.948,66929480,28,60.183,18.061,18,44.9322,15.5455,4,9.2412,6.6661,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f03,1253,PHB20090920,Port Hacking,-34.1192,151.2267,2009-09-21T09:17:00Z,2009,9,21,09:17:00,17.42,1.0352,0.9174,924.1581,738.5012,0.6449,0.984,29,203.9142,60.5573,5.1208,35.42,2.07,6.79,0.32,0.41,2104.73,2326.6499,-999,68978416,522468,0.976,66022292,29,58.8214,17.4684,19,67.3565,22.8758,4,22.503,16.2325,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f02,1254,PHB20090920,Port Hacking,-34.1192,151.2267,2009-09-21T09:10:00Z,2009,9,21,09:10:00,17.42,1.0352,0.9174,9070.6553,4296.626,0.5015,0.996,21,170.3507,55.9532,5.1208,35.42,2.07,6.79,0.32,0.41,2104.73,2326.6499,-999,68978416,522468,0.976,66022292,29,58.8214,17.4684,19,67.3565,22.8758,4,22.503,16.2325,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f01,1260,PHB20090819,Port Hacking,-34.1192,151.2267,2009-08-20T09:19:00Z,2009,8,20,09:19:00,17.09,1.2361,0.535,10377.3262,1706.2742,0.6493,0.991,38,204.7503,56.2874,3.0352,35.53,1.44,2.88,0.1,0.25,2071.1799,2328.4299,-999,284169856,401397,0.64,66866796,32,52.001,15.0043,20,42.553,14.2045,6,7.2121,4.0252,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5f00,1264,PHB20090714,Port Hacking,-34.1192,151.2267,2009-07-15T09:15:00Z,2009,7,15,09:15:00,18.03,0.6314,0.3651,495.085,430.4205,0.6881,0.986,30,216.8754,63.7644,0.8732,35.48,1.79,3.87,0.24,0.33,2064.4299,2325.8799,-999,42087532,312599,0.923,6597062.5,42,79.2882,21.2133,30,101.9211,29.9662,6,21.3131,11.8951,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5eff,1265,PHB20090623,Port Hacking,-34.1192,151.2267,2009-06-24T10:00:00Z,2009,6,24,10:00:00,19.32,0.6314,1.4382,714.337,596.1228,0.7022,0.956,40,264.6652,71.7468,1.0733,35.46,1.98,4.74,0.22,0.4,2069.05,2322.3501,-999,10350618,340128,0.345,1076296.125,35,53.2901,14.9887,21,68.0125,22.3393,8,4.95,2.3804,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5efe,1270,PHB20090518,Port Hacking,-34.1192,151.2267,2009-05-19T10:00:00Z,2009,5,19,10:00:00,21.16,0.6003,0.4044,794.1566,715.3472,0.7969,0.948,42,194.0544,51.9186,14.3681,35.35,1.4,2.54,0.12,0.26,2037.96,2318.8201,-999,78565608,283648,0.813,69638096,36,61.4298,17.1423,25,88.1585,27.388,5,6.7441,4.1904,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5efd,1273,PHB20090422,Port Hacking,-34.1192,151.2267,2009-04-23T10:00:00Z,2009,4,23,10:00:00,21.49,0.5944,0.3289,693.1184,578.5417,0.7855,0.935,35,165.606,46.5794,12.6649,35.49,0.97,0.88,0.35,0.16,2047.02,2323.45,-999,10412154,305974,0.74,244501.4062,19,28.9981,9.8484,8,10.9473,5.2646,4,2.673,1.9281,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5efc,1276,PHB20090318,Port Hacking,-34.1192,151.2267,2009-03-19T10:00:00Z,2009,3,19,10:00:00,22.9,0.4113,0.4304,1939.6707,1154.6083,0.7722,0.969,41,226.8458,61.0856,5.7467,35.47,1.24,3.94,0.05,0.31,2066.1499,2324.26,-999,69764360,442390,0.976,1087775.875,29,60.598,17.996,18,51.2144,17.719,4,15.6637,11.299,POINT (151.22667 -34.11923)
nrs_ind_map.fid--4b3c8ee0_1709e6babff_-5efb,1278,PHB20090223,Port Hacking,-34.1192,151.2267,2009-02-24T10:00:00Z,2009,2,24,10:00:00,23.3,0.5684,5.2472,1199.9905,805.1015,0.7112,0.978,38,241.9992,66.5274,45.9568,35.35,2.59,5.61,0.71,0.55,2085.55,2319.78,-999,17624478,234611,0.871,539171.5,28,47.1348,14.1452,17,49.8424,17.5922,4,11.6753,8.4219,POINT (151.22667 -34.11923)
